Datums;Valsts;14DienuKumulativaIncidence;Izcelosana;Pasizolacija;PersIrVakcParslSert_PasizolacijaLatvija;PersIrVakcParslSert_TestsPirmsIebrauksanasLV;PersIrVakcParslSert_TestsPecIebrauksanasLV;CitasPersonas_PasizolacijaLatvija;CitasPersonas_TestsPirmsIebrauksanasLV;CitasPersonas_TestsPecIebrauksanasLV
2020.08.07.;Norvēģija;6.5;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Itālija;6.4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Lihtenšteina;5.2;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Latvija;3.8;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Somija;2.9;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Ungārija;2;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Vatikāns;0;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Austrālija;<25;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Kanāda;16-25;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Gruzija;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Japāna;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Jaunzēlande;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Ruanda;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Dienvidkoreja;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Taizeme;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Tunisija;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Urugvaja;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Citas valstis;...;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.14.;Luksemburga;122.5;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
